tsymbol	entryDate	openPrice	closePrice	minPrice	maxPrice	volume
AAPL	2012-01-03	409.4	411.23	409	412.5	75555200
AAPL	2012-01-04	410	413.44	409.28	414.68	65005500
AAPL	2012-01-05	414.95	418.03	412.67	418.55	67817400
AAPL	2012-01-06	419.77	422.4	419.22	422.75	79573200
AAPL	2012-01-09	425.5	421.73	421.35	427.75	98506100
AAPL	2012-01-10	425.91	423.24	421.5	426	64549100
AAPL	2012-01-11	422.68	422.55	419.31	422.85	53771200
AAPL	2012-01-12	422.28	421.39	418.75	422.9	53146800
AAPL	2012-01-13	419.7	419.81	418.66	420.45	56505400
AAPL	2012-01-17	424.2	424.7	422.96	425.99	60724300
AAPL	2012-01-18	426.96	429.11	426.3	429.47	69197800
AAPL	2012-01-19	430.15	427.75	426.51	431.37	65434600
AAPL	2012-01-20	427.49	420.3	419.75	427.5	103493600
AAPL	2012-01-23	422.67	427.41	422.3	428.45	76515600
AAPL	2012-01-24	425.1	420.41	419.55	425.1	136909500
AAPL	2012-01-25	454.44	446.66	443.73	454.45	239578500
AAPL	2012-01-26	448.36	444.63	443.14	448.79	80996300
AAPL	2012-01-27	444.34	447.28	443.77	448.48	74927300
AAPL	2012-01-30	445.71	453.01	445.39	453.9	94835300
AAPL	2012-01-31	455.59	456.48	453.07	458.24	97920900
AAPL	2012-02-01	458.41	456.19	455.55	458.99	67511500
AAPL	2012-02-02	455.9	455.12	453.98	457.17	46699100
AAPL	2012-02-03	457.3	459.68	455.56	460	71649900
AAPL	2012-02-06	458.38	463.97	458.2	464.98	62353200
AAPL	2012-02-07	465.25	468.83	464.58	469.75	79055900
AAPL	2012-02-08	470.5	476.68	469.7	476.79	101972500
AAPL	2012-02-09	480.76	493.17	480.56	496.75	221053700
AAPL	2012-02-10	490.96	493.42	488.55	497.62	157825500
AAPL	2012-02-13	499.53	502.6	497.09	503.83	129304000
AAPL	2012-02-14	504.66	509.46	502	509.56	115099600
AAPL	2012-02-15	514.26	497.67	496.89	526.29	376530000
AAPL	2012-02-16	491.5	502.21	486.63	504.89	236138000
AAPL	2012-02-17	503.11	502.12	500.3	507.77	133951300
